State	LogProb	m[0][0]	m[0][1]	m[0][2]	m[1][0]	m[1][1]	m[1][2]	m[2][0]	m[2][1]	m[2][2]	
124000	-53291.5	0.987408	0.00580109	0.00679068	0.0154171	0.982152	0.00243116	0.0143938	0.00374719	0.981859	
125000	-53319.9	0.979929	0.00770745	0.0123632	0.00110278	0.998412	0.000484762	0.0103516	0.0136335	0.976015	
126000	-53335.3	0.975744	0.0086911	0.0155647	0.00180227	0.996259	0.00193901	0.0405785	0.0147689	0.944653	
127000	-53351.7	0.996014	0.00265438	0.00133172	0.00419926	0.961456	0.0343444	0.0123569	0.0375366	0.950107	
128000	-53355.1	0.98217	0.00381533	0.0140145	0.00615906	0.986365	0.00747602	0.0124387	0.00419676	0.983365	
129000	-53293.5	0.990843	0.0062826	0.00287425	0.0298075	0.967427	0.00276531	0.0182597	0.100212	0.881528	
130000	-53269.8	0.992768	0.00607025	0.00116211	0.00616831	0.993126	0.000705467	0.0585356	0.00250361	0.938961	
131000	-53260.5	0.979325	0.00384644	0.0168289	0.00157823	0.995498	0.002924	0.0146432	0.0532879	0.932069	
132000	-53209.1	0.953745	0.00843366	0.0378214	0.0024418	0.990545	0.00701322	0.0152994	0.0282097	0.956491	
133000	-53178.8	0.991309	0.000151685	0.00853883	0.0093068	0.985807	0.00488639	0.0965599	0.00409355	0.899347	
134000	-53153.6	0.992037	0.00111954	0.0068436	0.00749281	0.97653	0.0159771	0.00348489	0.126172	0.870343	
135000	-53129.5	0.989765	0.00511121	0.00512382	0.00949278	0.985307	0.00519974	0.0203455	0.0450623	0.934592	
136000	-53112.1	0.992834	0.00437788	0.00278772	0.00746903	0.984019	0.00851211	0.0248864	0.0621809	0.912933	
137000	-53145.7	0.994326	0.00256695	0.0031074	0.00767719	0.983069	0.00925412	0.0750089	0.0070189	0.917972	
138000	-53153.2	0.97339	0.00851522	0.0180951	0.011229	0.960176	0.0285948	0.0371934	0.0576761	0.905131	
139000	-53137.8	0.996393	0.000818378	0.00278849	0.0233297	0.962607	0.0140636	0.0139863	0.0426899	0.943324	
140000	-53156	0.988561	0.00219349	0.00924588	0.0180671	0.974047	0.00788557	0.00357327	0.0813015	0.915125	
141000	-53170.2	0.987962	0.0103572	0.00168042	0.0201664	0.971131	0.00870284	0.0401097	0.0459016	0.913989	
142000	-53164.8	0.978772	0.0169103	0.004318	0.00468264	0.99495	0.000367026	0.0233903	0.0270864	0.949523	
143000	-53173.2	0.986959	0.0115846	0.00145642	0.0156211	0.965285	0.0190937	0.00164453	0.000256539	0.998099	
144000	-53188.1	0.988182	0.00554976	0.00626858	0.000399568	0.972555	0.0270457	0.0501143	0.00166674	0.948219	
145000	-53213.9	0.956267	0.0142074	0.0295256	0.00796021	0.970169	0.0218712	0.115005	0.0272063	0.857789	
146000	-53219.4	0.996927	0.0015714	0.00150143	0.0128259	0.979173	0.00800131	0.0469339	0.0666391	0.886427	
